"データファイル名        : ","C:\Users\queez\Dropbox\Experiments\2019-Ito-kun\data\Qms\S1_200804_200905.qst"
"ロットＩＤ              : ",""
"センサータイプ          : ","BGM102              "
"センサー番号            : ",1
"レシピ番号              : ",0
"レシピ名称              : ","general1"
"測定モード              : ","トレンドモード"
"測定質量数              : ",2 ,3 ,4 ,14,15,16,17,18,19,20,28,32,40,44,--,--,--,--,--,--
"測定スピード            : ",50    ,"msec"
"移動平均回数            : ",1,"回"
"測定間隔                : ",700   ,"msec"
"保存間隔                : ",1,"回"
"導入バルブ状態          : ","全閉"
"終了バルブ状態          : ","状態維持"
"イオン化電圧            : ",50    ,"eV"
"レンジ値                : ","オートレンジ"
"データの種類            : ","イオン強度"
"分圧の参照値            : ","感度校正値"
"圧力単位                : ","[Pa]"
"ｱﾅﾛｸﾞCH.1のデータの種類 : ","圧力"
"ｱﾅﾛｸﾞCH.2のデータの種類 : ","圧力"
"選択 FIL                : ","FIL1"
"選択 SEM / FC           : ","SEM"
"SEM 電圧                : ",-1.000,"kV"
"変換条件 電流 ->分圧    : ","校正圧力値",1.00E-05,"設定イオン電流値",1.00E-07
"変換条件 ｱﾅﾛｸﾞ1->圧力   : ","換算係数値",8
圧力"変換条件 ｱﾅﾛｸﾞ1->温度   : ","最大温度",1000    ,"最小温度",0       
"変換条件 ｱﾅﾛｸﾞ2->圧力   : ","換算係数値",8
"変換条件 ｱﾅﾛｸﾞ2->温度   : ","最大温度",1000    ,"最小温度",0       
"測定開始日時            : ",2020/08/04 20:09:05
"測定終了日時            : ",2020/08/04 21:30:20
"エミッション電流        : ","なし"
"SEMインターロック       : ","監視状態","有効",2.00E-02
"Ar表示機能              : ","無効",0


"測定回数","経過時間"   ,"ｱﾅﾛｸﾞ1" ,"ｱﾅﾛｸﾞ2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
      36  ,000:00:24.609 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.42E-10, 2.10E-12, 1.59E-12, 3.89E-11, 6.48E-11, 1.95E-10, 1.38E-09, 5.82E-09, 3.10E-11, 8.78E-10, 1.10E-09, 5.44E-11, 2.25E-11, 6.08E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      37  ,000:00:25.312 ,1.00E-08 ,1.00E-08 ,2.19E-04 , 8.27E-10, 2.10E-12, 1.59E-12, 3.89E-11, 6.48E-11, 1.95E-10, 1.38E-09, 5.82E-09, 3.10E-11, 8.90E-10, 1.09E-09, 5.74E-11, 2.14E-11, 6.12E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      38  ,000:00:26.015 ,1.00E-08 ,1.00E-08 ,2.19E-04 , 8.27E-10, 2.34E-12, 2.50E-12, 3.90E-11, 6.64E-11, 1.92E-10, 1.37E-09, 5.81E-09, 2.94E-11, 8.90E-10, 1.09E-09, 5.74E-11, 2.14E-11, 6.12E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      39  ,000:00:26.719 ,1.00E-08 ,1.00E-08 ,2.19E-04 , 8.26E-10, 2.34E-12, 2.50E-12, 3.90E-11, 6.64E-11, 1.92E-10, 1.37E-09, 5.81E-09, 2.94E-11, 8.92E-10, 1.09E-09, 5.68E-11, 2.26E-11, 6.09E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      40  ,000:00:27.422 ,1.00E-08 ,1.00E-08 ,2.19E-04 , 8.26E-10, 1.87E-12, 2.27E-12, 3.81E-11, 6.58E-11, 1.97E-10, 1.36E-09, 5.75E-09, 3.00E-11, 8.92E-10, 1.09E-09, 5.68E-11, 2.26E-11, 6.09E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      41  ,000:00:28.125 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 9.14E-10, 1.87E-12, 2.27E-12, 3.81E-11, 6.58E-11, 1.97E-10, 1.36E-09, 5.75E-09, 3.00E-11, 8.96E-10, 1.11E-09, 5.49E-11, 2.10E-11, 6.26E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      42  ,000:00:28.828 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 9.14E-10, 2.49E-12, 1.62E-12, 4.12E-11, 6.63E-11, 1.95E-10, 1.37E-09, 5.73E-09, 2.97E-11, 8.96E-10, 1.11E-09, 5.49E-11, 2.10E-11, 6.26E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      43  ,000:00:29.531 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.52E-10, 2.49E-12, 1.62E-12, 4.12E-11, 6.63E-11, 1.95E-10, 1.37E-09, 5.73E-09, 2.97E-11, 8.88E-10, 1.09E-09, 5.70E-11, 2.18E-11, 6.07E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      44  ,000:00:30.234 ,1.00E-08 ,1.00E-08 ,2.20E-04 , 8.52E-10, 2.19E-12, 1.79E-12, 3.80E-11, 6.74E-11, 1.95E-10, 1.37E-09, 5.79E-09, 2.93E-11, 8.88E-10, 1.09E-09, 5.70E-11, 2.18E-11, 6.07E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      45  ,000:00:30.937 ,1.00E-08 ,1.00E-08 ,2.19E-04 , 8.38E-10, 2.19E-12, 1.79E-12, 3.80E-11, 6.74E-11, 1.95E-10, 1.37E-09, 5.79E-09, 2.93E-11, 8.85E-10, 1.08E-09, 5.63E-11, 2.11E-11, 6.10E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
